0,The body of a Dwarf savaged by Goblins.
1,Good for repairing broken cannons.
2,Ammo for the Dwarf Cannon.
3,Construction notes for Dwarf cannon ammo.
4,Used to make cannon ammunition.
5,An old note book.
6,The cannon is built on this.
8,The mounting for the multicannon.
10,The barrels of the multicannon.
12,This powers the multicannon.
14,A metal railing replacement.
15,A cloth given to me by Sir Galahad.
16,A small tin whistle.
17,I wonder what happens when I ring it?
18,It will point the way for me.
19,A holy and powerful artefact.
20,A cog from some machinery.
21,A cog from some machinery.
22,A cog from some machinery.
23,A cog from some machinery.
24,Doesn't look very tasty.
25,Wormy.
26,Hemenster fishing contest trophy.
27,Pass to the Hemenster fishing contest.
28,Drives away all known 6 legged creatures.
30,It's a bucket of wax.
32,A lit spooky candle.
33,A lit candle.
34,null
35,This used to belong to King Arthur.
36,A candle.
38,A spooky candle.
39,I can make some arrows with these.
40,I can make some arrows with these.
41,I can make some arrows with these.
42,I can make some arrows with these.
43,I can make some arrows with these.
44,I can make some arrows with these.
45,Opal bolt tips.
46,Pearl bolt tips.
47,I can make bolts with these.
48,I need to find a string for this.
50,I need to find a string for this.
52,A wooden arrow shaft.
53,A wooden arrow shaft with flights attached.
54,An unstrung oak shortbow; I need a bowstring for this.
56,An unstrung oak longbow; I need a bowstring for this.
58,An unstrung willow longbow; I need a bowstring for this.
60,An unstrung willow shortbow; I need a bowstring for this.
62,An unstrung maple longbow; I need a bowstring for this.
64,An unstrung maple shortbow; I need a bowstring for this.
66,An unstrung yew longbow; I need a bowstring for this.
68,An unstrung yew shortbow; I need a bowstring for this.
70,An unstrung magic longbow; I need a bowstring for this.
72,An unstrung magic shortbow; I need a bowstring for this.
74,"A helmet, as worn by the minions of General Khazard."
75,"Armour, as worn by the minions of General Khazard."
76,These keys open the cells at the Khazard fight arena (Used in the Fight Arena quest).
77,A bottle of Khazard's worst brew.
78,"Can only be fired from yew, magic, dark or twisted bows."
83,A lever to open something perhaps?
84,The power in this staff causes it to vibrate gently.
85,It catches the light! (Quick access into the Temple of Ikov).
86,An amulet made by Lucien.
87,Worn by followers of Armadyl.
88,Magic boots that make you lighter than normal.
89,Magic boots that make you lighter than normal.
90,It's very soft!
91,I need another ingredient to finish this Guam potion.
93,I need another ingredient to finish this Marrentill potion.
95,I need another ingredient to finish this Tarromin potion.
97,I need another ingredient to finish this Harralander potion.
99,I need another ingredient to finish this Ranarr potion.
101,I need another ingredient to finish this Irit potion.
103,I need another ingredient to finish this Avantoe potion.
105,I need another ingredient to finish this Kwuarm potion.
107,I need another ingredient to finish this Cadantine potion.
109,I need another ingredient to finish this Dwarf Weed potion.
111,I need another ingredient to finish this Torstol potion.
113,4 doses of Strength potion.
115,3 doses of Strength potion.
117,2 doses of Strength potion.
119,1 dose of Strength potion.
121,3 doses of Attack potion.
123,2 doses of Attack potion.
125,1 dose of Attack potion.
127,3 doses of restore potion.
129,2 doses of restore potion.
131,1 dose of restore potion.
133,3 doses of Defence potion.
135,2 doses of Defence potion.
137,1 dose of Defence potion.
139,3 doses of Prayer restore potion.
141,2 doses of Prayer restore potion.
143,1 dose of Prayer restore potion.
145,3 doses of super Attack potion.
147,2 doses of super Attack potion.
149,1 dose of super Attack potion.
151,3 doses of Fishing potion.
153,2 doses of Fishing potion.
155,1 dose of Fishing potion.
157,3 doses of super Strength potion.
159,2 doses of super Strength potion.
161,1 dose of super Strength potion.
163,3 doses of super Defence potion.
165,2 doses of super Defence potion.
167,1 dose of super Defence potion.
169,3 doses of ranging potion.
171,2 doses of ranging potion.
173,1 dose of ranging potion.
175,3 doses of antipoison potion.
177,2 doses of antipoison potion.
179,1 dose of antipoison potion.
181,3 doses of super antipoison potion.
183,2 doses of super antipoison potion.
185,1 dose of super antipoison potion.
187,For use on daggers and projectiles.
189,3 doses of Zamorak brew.
191,2 doses of Zamorak brew.
193,1 dose of Zamorak brew.
195,This is meant to be good for spots.
197,A cup of a strange brew...
199,It needs cleaning.
201,It needs cleaning.
203,It needs cleaning.
205,It needs cleaning.
207,It needs cleaning.
209,It needs cleaning.
211,It needs cleaning.
213,It needs cleaning.
215,It needs cleaning.
217,It needs cleaning.
219,It needs cleaning.
221,It seems to be looking at me.
223,Ewww!
225,The root of a limpwurt plant.
227,A glass vial containing water.
229,An empty glass vial.
231,Strange spiky grass.
233,I can grind things for potions in this.
235,Finely ground horn of Unicorn.
237,This horn has restorative properties.
239,"Sour berries, used in potions."
241,Finely ground scale of Dragon.
243,A large shiny scale.
245,An evil wine for an evil god.
247,They don't look very ripe.
249,A bitter green herb.
251,A herb used in poison cures.
253,A useful herb.
255,A useful herb.
257,A useful herb.
259,A useful herb.
261,A useful herb.
263,A powerful herb.
265,A powerful herb.
267,A powerful herb.
269,A powerful herb.
271,It looks like part of a machine.
272,Keeps your pet fish strong and healthy.
273,This stuff looks nasty.
274,Doesn't seem very nice to the poor fishes.
275,A slightly smelly key (Used in the Ernest the Chicken quest).
276,It's slightly charred.
277,It's pretty full.
278,A sharp cattleprod.
279,Councillor Halgrive gave me this to kill some sheep.
280,The suspicious-looking remains of a suspicious-looking sheep.
281,The suspicious-looking remains of a suspicious-looking sheep.
282,The suspicious-looking remains of a suspicious-looking sheep.
283,The suspicious-looking remains of a suspicious-looking sheep.
284,"This should protect me from the plague, I hope!"
285,"These should protect me from the plague, I hope!"
286,Some orange armour designed to fit goblins.
287,Some blue armour designed to fit goblins.
288,Some brown armour designed to fit goblins.
290,This contains some vital research.
291,They seem to be written in some kind of code.
292,A book on elven history in northern Gielinor.
293,I found this in a cave beneath the Tree Gnome Village (used in the Waterfall Quest).
294,A small pebble with elven inscription.
295,A bright green gem set in a necklace.
296,An urn containing Glarial's ashes.
297,An empty urn made for Glarial's ashes.
298,I found this within Baxtorian Falls (used in the Waterfall Quest).
299,Magical seeds in a mithril case.
300,A bit of rat.
301,Useful for catching lobsters.
303,Useful for catching small fish.
305,Useful for catching lots of fish.
307,Useful for catching sardine or herring.
309,Useful for catching salmon or trout.
311,Useful for catching really big fish.
313,For use with a fishing rod.
314,Used for fly fishing.
315,Some nicely cooked shrimp.
317,I should try cooking this.
319,Some nicely cooked anchovies.
